Lon,Lat,Clave,Edo,Est,Tmax
-98.88,21.42,RQTSL,SLP,REQUETEMU,23.4
-93.74,16.15,REVCP,CHIS,REVOLUCIÓN MEXICANA,27.8
-99,22.84,RFRTP,TAMPS,RIO FRIO,24.9
-103.03,23.82,RGRZC,ZAC,RIO GRANDE,20.1
-100,21.92,76581,SLP,RIO VERDE,22.4
-99.99,21.93,RVDSL,SLP,RIO VERDE,22.6
-91.19,18.89,SBNCA,CAMP,SABANCUY,26.1
-101.12,27.84,SBNCL,COAH,SABINAS,19.0
-99.09,23.02,SBNTP,TAMPS,SABINAS,25.4
-95.18,16.17,76833,OAX,SALINA CRUZ,30.2
-95.2,16.18,SCROX,OAX,SALINA CRUZ,29.5
-105.44,25.22,SACDR,DGO,SALOME ACOSTA,22.5
-101.02,25.38,76390,COAH,SALTILLO,18.8
-101.01,25.37,STOCL,COAH,SALTILLO,18.1
-92.35,17.56,SAACP,CHIS,SALTO DE AGUA,25.5
-92.34,17.56,SALTODEAGUA,CHIS,SALTO DE AGUA,25.6
-93.29,17.97,SAMTB,TAB,SAMARIA,25.4
-103.71,29.17,SANANTONIO,CHIH,SAN ANTONIO,21.3
-110.05,23.8,SANBS,BCS,SAN ANTONIO,29.7
-108.87,27.41,SBNSO,SON,SAN BERNARDO,31.9
-92.63,16.73,76845,CHIS,SAN CBAL. DE LAS CASAS,19.4
-92.63,16.73,SCOCP,CHIS,SAN CRISTOBAL OBSV.,19.8
-98.6,21.16,ORZHD,HGO,SAN FELIPE ORIZATLAN,21.6
-108.12,26.9,TBRSI,SIN,SAN FRANCISCO,34.1
-105.55,26.41,SGBDR,DGO,SAN GABRIEL,25.8
-98.78,23.08,SGBTP,TAMPS,SAN GABRIEL,22.5
-107.87,26.87,IGNCH,CHIH,SAN IGNACIO,25.9
-100.47,17.14,SJEGR,GRO,SAN JERONIMO,31.4
-98.2,19.55,SJATL,TLAX,SAN JOSE ATLANGA,19.3
-99.07,19.47,SJADF,DF,SAN JUAN DE ARAGON,22.3
-107.1,24.8,SLRSI,SIN,SAN LORENZO,32.0
-98.87,19.19,SLAMX,MEX,SAN LUIS AMECA,20.8
-100.51,21.3,SLPGJ,GTO,SAN LUIS DE LA PAZ,18.4
-100.01,22.14,SLPSL,SLP,SAN LUIS POTOSI,21.3
-101.02,22.21,76539,SLP,SAN LUIS POTOSÍ,20.4
-97.9,18.73,SMCPB,PUE,SAN MIGUEL CANOA,20.2
-102.97,25.75,SPECL,COAH,SAN PEDRO,21.5
-91.15,17.79,SPTTB,TAB,SAN PEDRO,27.6
-104.29,25.94,SMODR,DGO,SANTA MARIA DEL ORO,14.2
-103.11,22.93,STRZC,ZAC,SANTA ROSA,19.3
-111.44,30.39,SRSSO,SON,SANTA ROSA II,23.8
-92.1,15.77,SDOCP,CHIS,SANTO DOMINGO,28.7
-106.25,23.35,SQRSI,SIN,SIQUEROS,32.7
-98.6,26.24,CDOTP,TAMPS,S-J-2-18 CIUDAD DIAZ ORDAZ,19.5
-98.88,26.16,RYNTP,TAMPS,S-J-2-9 REYNOSA,19.2
-103.65,23.47,76471,ZAC,SOMBRERETE,21.1
